"antecedent","succedent","realcon","realocc","realdur","p_con","p_occ","p_dur","null_obs"
"(inf_smile;infant_voc;m_gaze_away;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(i_gaze_at;inf_smile;m_gaze_at_object;mo_smile;mother-speech)","(infant_voc)",999.0,999,999.0,999.0,999.0,999.0,1
"(i_gaze_at;inf_smile;m_gaze_at)","(infant_voc)",0.118,53,49.202,0.0,0.4,0.0,5
"(i_gaze_at;inf_smile;infant_voc)","(m_gaze_at;mother-speech)",0.162,14,12.672,0.09375,0.21875,0.0,32
"(inf_smile;m_gaze_at;mo_smile)","(i_gaze_at)",0.471,15,165.675,0.0,0.47,0.0,100
"(inf_smile;m_gaze_at_object;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,79
"(infant_voc;m_gaze_away)","(inf_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,5
"(m_gaze_away;mother-speech)","(i_gaze_away)",999.0,999,999.0,999.0,999.0,999.0,12
"(i_gaze_at;inf_smile;m_gaze_at;mo_smile)","(mother-speech)",0.357,79,88.09,0.01,0.0,0.0,100
"(m_gaze_at;mother-speech)","(inf_smile)",0.157,91,157.298,0.23,0.0,0.02,100
"(mo_smile)","(m_gaze_at_object;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,99
"(inf_smile;m_gaze_away;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,19
"(inf_smile;m_gaze_away;mother-speech)","(i_gaze_at_object;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,2
"(inf_smile;mo_smile)","(i_gaze_at;m_gaze_at;mother-speech)",0.194,104,98.704,0.0,0.0,0.0,78
"(i_gaze_at_object;infant_voc;m_gaze_at;mo_smile)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,41
"(i_gaze_away;m_gaze_at_object)","(inf_smile;mo_smile)",999.0,999,999.0,999.0,999.0,999.0,14
"(i_gaze_at_object;inf_smile;infant_voc;mother-speech)","(m_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,9
"(i_gaze_at;infant_voc;m_gaze_at_object)","(mother-speech)",999.0,999,999.0,999.0,999.0,999.0,71
"(inf_smile;infant_voc;mother-speech)","(i_gaze_at)",999.0,999,999.0,999.0,999.0,999.0,29
"(i_gaze_at_object;infant_voc;m_gaze_at_object;mother-speech)","(mo_smile)",999.0,999,999.0,999.0,999.0,999.0,4
"(i_gaze_at_object;inf_smile;m_gaze_away)","(infant_voc;mo_smile;mother-speech)",999.0,999,999.0,999.0,999.0,999.0,4
"(inf_smile;mother-speech)","(m_gaze_at_object)",999.0,999,999.0,999.0,999.0,999.0,100
"(i_gaze_away;inf_smile)","(mo_smile;mother-speech)",0.126,26,19.925,0.6623376623376623,0.5194805194805194,0.6233766233766234,77
"(inf_smile;m_gaze_at;mother-speech)","(i_gaze_at;mo_smile)",0.155,17,50.878,0.0,1.0,0.0,11
"(m_gaze_at)","(i_gaze_at;mo_smile;mother-speech)",0.145,369,310.035,999.0,999.0,999.0,3
